unit_number,max_cycle,iso_flag_cycle,iso_flag_pct
1,192,30.0,15.625
2,287,37.0,12.89198606271777
3,179,58.0,32.402234636871505
4,189,44.0,23.28042328042328
5,269,30.0,11.152416356877323
6,188,60.0,31.914893617021278
7,259,35.0,13.513513513513514
8,150,72.0,48.0
9,201,83.0,41.29353233830846
10,222,50.0,22.52252252252252
11,240,50.0,20.833333333333336
12,170,43.0,25.294117647058822
13,163,51.0,31.28834355828221
14,180,78.0,43.333333333333336
15,207,71.0,34.29951690821256
16,209,56.0,26.794258373205743
17,276,65.0,23.55072463768116
18,195,46.0,23.589743589743588
19,158,32.0,20.253164556962027
20,234,80.0,34.18803418803419
21,195,49.0,25.128205128205128
22,202,,
23,168,30.0,17.857142857142858
24,147,72.0,48.97959183673469
25,230,68.0,29.565217391304348
26,199,35.0,17.587939698492463
27,156,36.0,23.076923076923077
28,165,56.0,33.939393939393945
29,163,,
30,194,34.0,17.525773195876287
31,234,44.0,18.803418803418804
32,191,37.0,19.3717277486911
33,200,30.0,15.0
34,195,59.0,30.256410256410255
35,181,38.0,20.994475138121548
36,158,37.0,23.417721518987342
37,170,40.0,23.52941176470588
38,194,58.0,29.896907216494846
39,128,66.0,51.5625
40,188,,
41,216,69.0,31.944444444444443
42,196,51.0,26.02040816326531
43,207,77.0,37.19806763285024
44,192,,
45,158,58.0,36.708860759493675
46,256,41.0,16.015625
47,214,47.0,21.962616822429908
48,231,44.0,19.047619047619047
49,215,31.0,14.418604651162791
50,198,36.0,18.181818181818183
51,213,39.0,18.30985915492958
52,213,69.0,32.3943661971831
53,195,37.0,18.974358974358974
54,257,39.0,15.17509727626459
55,193,98.0,50.77720207253886
56,275,33.0,12.0
57,137,54.0,39.416058394160586
58,147,57.0,38.775510204081634
59,231,94.0,40.692640692640694
60,172,70.0,40.69767441860465
61,185,45.0,24.324324324324326
62,180,30.0,16.666666666666664
63,174,42.0,24.137931034482758
64,283,52.0,18.374558303886925
65,153,30.0,19.607843137254903
66,202,,
67,313,53.0,16.93290734824281
68,199,63.0,31.65829145728643
69,362,51.0,14.088397790055248
70,137,,
71,208,80.0,38.46153846153847
72,213,39.0,18.30985915492958
73,213,30.0,14.084507042253522
74,166,,
75,229,,
76,210,85.0,40.476190476190474
77,154,30.0,19.480519480519483
78,231,30.0,12.987012987012985
79,199,,
80,185,40.0,21.62162162162162
81,240,79.0,32.916666666666664
82,214,91.0,42.523364485981304
83,293,,
84,267,38.0,14.232209737827715
85,188,40.0,21.27659574468085
86,278,31.0,11.151079136690647
87,178,35.0,19.662921348314608
88,213,42.0,19.718309859154928
89,217,92.0,42.3963133640553
90,154,29.0,18.83116883116883
91,135,30.0,22.22222222222222
92,341,184.0,53.95894428152492
93,155,79.0,50.967741935483865
94,258,35.0,13.565891472868216
95,283,32.0,11.307420494699647
96,336,47.0,13.988095238095239
97,202,102.0,50.495049504950494
98,156,63.0,40.38461538461539
99,185,45.0,24.324324324324326
100,200,66.0,33.0
