unit_number,max_cycle,lstm_flag_cycle,lstm_flag_pct
1,192,179.0,93.22916666666666
2,287,264.0,91.98606271777004
3,179,174.0,97.20670391061452
4,189,68.0,35.978835978835974
5,269,202.0,75.09293680297398
6,188,159.0,84.57446808510637
7,259,121.0,46.71814671814672
8,150,92.0,61.33333333333333
9,201,195.0,97.01492537313433
10,222,213.0,95.94594594594594
11,240,232.0,96.66666666666667
12,170,133.0,78.23529411764706
13,163,144.0,88.34355828220859
14,180,158.0,87.77777777777777
15,207,194.0,93.71980676328504
16,209,83.0,39.71291866028708
17,276,169.0,61.23188405797102
18,195,189.0,96.92307692307692
19,158,134.0,84.81012658227847
20,234,205.0,87.6068376068376
21,195,186.0,95.38461538461539
22,202,163.0,80.6930693069307
23,168,154.0,91.66666666666666
24,147,83.0,56.4625850340136
25,230,209.0,90.8695652173913
26,199,166.0,83.41708542713567
27,156,144.0,92.3076923076923
28,165,159.0,96.36363636363636
29,163,149.0,91.41104294478528
30,194,185.0,95.36082474226805
31,234,206.0,88.03418803418803
32,191,145.0,75.91623036649214
33,200,186.0,93.0
34,195,174.0,89.23076923076924
35,181,168.0,92.81767955801105
36,158,76.0,48.10126582278481
37,170,63.0,37.05882352941177
38,194,161.0,82.9896907216495
39,128,72.0,56.25
40,188,162.0,86.17021276595744
41,216,78.0,36.11111111111111
42,196,174.0,88.77551020408163
43,207,190.0,91.78743961352657
44,192,181.0,94.27083333333334
45,158,151.0,95.56962025316456
46,256,152.0,59.375
47,214,201.0,93.92523364485982
48,231,181.0,78.35497835497836
49,215,152.0,70.69767441860465
50,198,184.0,92.92929292929293
51,213,203.0,95.30516431924883
52,213,187.0,87.79342723004694
53,195,188.0,96.41025641025641
54,257,108.0,42.023346303501945
55,193,181.0,93.78238341968913
56,275,223.0,81.0909090909091
57,137,42.0,30.656934306569344
58,147,135.0,91.83673469387756
59,231,204.0,88.31168831168831
60,172,166.0,96.51162790697676
61,185,174.0,94.05405405405406
62,180,142.0,78.88888888888889
63,174,168.0,96.55172413793103
64,283,252.0,89.04593639575971
65,153,145.0,94.77124183006535
66,202,166.0,82.17821782178217
67,313,284.0,90.73482428115017
68,199,184.0,92.46231155778895
69,362,316.0,87.29281767955801
70,137,123.0,89.78102189781022
71,208,192.0,92.3076923076923
72,213,183.0,85.91549295774648
73,213,159.0,74.64788732394366
74,166,161.0,96.98795180722891
75,229,189.0,82.53275109170306
76,210,176.0,83.80952380952381
77,154,58.0,37.66233766233766
78,231,219.0,94.8051948051948
79,199,191.0,95.97989949748744
80,185,175.0,94.5945945945946
81,240,209.0,87.08333333333333
82,214,174.0,81.30841121495327
83,293,262.0,89.419795221843
84,267,167.0,62.546816479400746
85,188,173.0,92.02127659574468
86,278,162.0,58.27338129496403
87,178,153.0,85.95505617977528
88,213,196.0,92.01877934272301
89,217,198.0,91.24423963133641
90,154,,
91,135,102.0,75.55555555555556
92,341,310.0,90.9090909090909
93,155,115.0,74.19354838709677
94,258,204.0,79.06976744186046
95,283,262.0,92.57950530035336
96,336,299.0,88.98809523809523
97,202,194.0,96.03960396039604
98,156,56.0,35.8974358974359
99,185,65.0,35.13513513513514
100,200,175.0,87.5
