unit_number,max_cycle_zscore,zscore_earliest_cycle,zscore_earliest_pct,max_cycle_iso,iso_flag_cycle,iso_flag_pct,max_cycle_lstm,lstm_flag_cycle,lstm_flag_pct
1,192,133,69.27083333333334,192,30.0,15.625,192,179.0,93.22916666666666
2,287,218,75.9581881533101,287,37.0,12.89198606271777,287,264.0,91.98606271777004
3,179,139,77.6536312849162,179,58.0,32.402234636871505,179,174.0,97.20670391061452
4,189,150,79.36507936507937,189,44.0,23.28042328042328,189,68.0,35.978835978835974
5,269,133,49.44237918215613,269,30.0,11.152416356877323,269,202.0,75.09293680297398
6,188,148,78.72340425531915,188,60.0,31.914893617021278,188,159.0,84.57446808510637
7,259,163,62.93436293436293,259,35.0,13.513513513513514,259,121.0,46.71814671814672
8,150,137,91.33333333333333,150,72.0,48.0,150,92.0,61.33333333333333
9,201,168,83.5820895522388,201,83.0,41.29353233830846,201,195.0,97.01492537313433
10,222,134,60.36036036036037,222,50.0,22.52252252252252,222,213.0,95.94594594594594
11,240,185,77.08333333333334,240,50.0,20.833333333333336,240,232.0,96.66666666666667
12,170,129,75.88235294117646,170,43.0,25.294117647058822,170,133.0,78.23529411764706
13,163,135,82.82208588957054,163,51.0,31.28834355828221,163,144.0,88.34355828220859
14,180,126,70.0,180,78.0,43.333333333333336,180,158.0,87.77777777777777
15,207,154,74.39613526570048,207,71.0,34.29951690821256,207,194.0,93.71980676328504
16,209,187,89.47368421052632,209,56.0,26.794258373205743,209,83.0,39.71291866028708
17,276,212,76.81159420289855,276,65.0,23.55072463768116,276,169.0,61.23188405797102
18,195,162,83.07692307692308,195,46.0,23.589743589743588,195,189.0,96.92307692307692
19,158,130,82.27848101265823,158,32.0,20.253164556962027,158,134.0,84.81012658227847
20,234,144,61.53846153846154,234,80.0,34.18803418803419,234,205.0,87.6068376068376
21,195,147,75.38461538461539,195,49.0,25.128205128205128,195,186.0,95.38461538461539
22,202,180,89.10891089108911,202,,,202,163.0,80.6930693069307
23,168,124,73.80952380952381,168,30.0,17.857142857142858,168,154.0,91.66666666666666
24,147,112,76.19047619047619,147,72.0,48.97959183673469,147,83.0,56.4625850340136
25,230,180,78.26086956521739,230,68.0,29.565217391304348,230,209.0,90.8695652173913
26,199,148,74.37185929648241,199,35.0,17.587939698492463,199,166.0,83.41708542713567
27,156,137,87.82051282051282,156,36.0,23.076923076923077,156,144.0,92.3076923076923
28,165,121,73.33333333333333,165,56.0,33.939393939393945,165,159.0,96.36363636363636
29,163,117,71.77914110429448,163,,,163,149.0,91.41104294478528
30,194,150,77.31958762886599,194,34.0,17.525773195876287,194,185.0,95.36082474226805
31,234,169,72.22222222222221,234,44.0,18.803418803418804,234,206.0,88.03418803418803
32,191,124,64.92146596858639,191,37.0,19.3717277486911,191,145.0,75.91623036649214
33,200,131,65.5,200,30.0,15.0,200,186.0,93.0
34,195,168,86.15384615384616,195,59.0,30.256410256410255,195,174.0,89.23076923076924
35,181,136,75.13812154696133,181,38.0,20.994475138121548,181,168.0,92.81767955801105
36,158,102,64.55696202531645,158,37.0,23.417721518987342,158,76.0,48.10126582278481
37,170,142,83.52941176470588,170,40.0,23.52941176470588,170,63.0,37.05882352941177
38,194,150,77.31958762886599,194,58.0,29.896907216494846,194,161.0,82.9896907216495
39,128,102,79.6875,128,66.0,51.5625,128,72.0,56.25
40,188,168,89.36170212765957,188,,,188,162.0,86.17021276595744
41,216,158,73.14814814814815,216,69.0,31.944444444444443,216,78.0,36.11111111111111
