unit_number,max_cycle,zscore_earliest_cycle,zscore_earliest_pct
1,192,133,69.27083333333334
2,287,218,75.9581881533101
3,179,139,77.6536312849162
4,189,150,79.36507936507937
5,269,133,49.44237918215613
6,188,148,78.72340425531915
7,259,163,62.93436293436293
8,150,137,91.33333333333333
9,201,168,83.5820895522388
10,222,134,60.36036036036037
11,240,185,77.08333333333334
12,170,129,75.88235294117646
13,163,135,82.82208588957054
14,180,126,70.0
15,207,154,74.39613526570048
16,209,187,89.47368421052632
17,276,212,76.81159420289855
18,195,162,83.07692307692308
19,158,130,82.27848101265823
20,234,144,61.53846153846154
21,195,147,75.38461538461539
22,202,180,89.10891089108911
23,168,124,73.80952380952381
24,147,112,76.19047619047619
25,230,180,78.26086956521739
26,199,148,74.37185929648241
27,156,137,87.82051282051282
28,165,121,73.33333333333333
29,163,117,71.77914110429448
30,194,150,77.31958762886599
31,234,169,72.22222222222221
32,191,124,64.92146596858639
33,200,131,65.5
34,195,168,86.15384615384616
35,181,136,75.13812154696133
36,158,102,64.55696202531645
37,170,142,83.52941176470588
38,194,150,77.31958762886599
39,128,102,79.6875
40,188,168,89.36170212765957
41,216,158,73.14814814814815
42,196,150,76.53061224489795
43,207,162,78.26086956521739
44,192,111,57.8125
45,158,117,74.0506329113924
46,256,198,77.34375
47,214,159,74.29906542056075
48,231,187,80.95238095238095
49,215,170,79.06976744186046
50,198,128,64.64646464646465
51,213,190,89.2018779342723
52,213,176,82.62910798122066
53,195,128,65.64102564102564
54,257,186,72.37354085603113
55,193,178,92.2279792746114
56,275,228,82.9090909090909
57,137,106,77.37226277372264
58,147,109,74.14965986394559
59,231,174,75.32467532467533
60,172,146,84.88372093023256
61,185,135,72.97297297297297
62,180,155,86.11111111111111
63,174,147,84.48275862068965
64,283,217,76.67844522968198
65,153,112,73.20261437908496
66,202,158,78.21782178217822
67,313,217,69.32907348242811
68,199,152,76.38190954773869
69,362,234,64.64088397790056
70,137,110,80.2919708029197
71,208,138,66.34615384615384
72,213,167,78.40375586854461
73,213,175,82.15962441314554
74,166,130,78.3132530120482
75,229,115,50.21834061135371
76,210,162,77.14285714285715
77,154,126,81.81818181818183
78,231,165,71.42857142857143
79,199,152,76.38190954773869
80,185,167,90.27027027027027
81,240,181,75.41666666666667
82,214,154,71.96261682242991
83,293,212,72.35494880546075
84,267,203,76.02996254681648
85,188,157,83.51063829787235
86,278,205,73.7410071942446
87,178,124,69.66292134831461
88,213,163,76.52582159624414
89,217,173,79.72350230414746
90,154,121,78.57142857142857
91,135,94,69.62962962962963
92,341,260,76.24633431085044
93,155,112,72.25806451612902
94,258,194,75.1937984496124
95,283,188,66.43109540636041
96,336,182,54.166666666666664
97,202,174,86.13861386138613
98,156,118,75.64102564102564
99,185,137,74.05405405405405
100,200,135,67.5
