unit_number,max_cycle_zscore,zscore_earliest_cycle,zscore_earliest_pct,max_cycle_iso,iso_flag_cycle,iso_flag_pct,detection_diff_pct
1,192,133,69.27083333333334,192,30.0,15.625,-53.64583333333334
2,287,218,75.9581881533101,287,37.0,12.89198606271777,-63.066202090592334
3,179,139,77.6536312849162,179,58.0,32.402234636871505,-45.2513966480447
4,189,150,79.36507936507937,189,44.0,23.28042328042328,-56.08465608465609
5,269,133,49.44237918215613,269,30.0,11.152416356877323,-38.289962825278806
6,188,148,78.72340425531915,188,60.0,31.914893617021278,-46.808510638297875
7,259,163,62.93436293436293,259,35.0,13.513513513513514,-49.420849420849414
8,150,137,91.33333333333333,150,72.0,48.0,-43.33333333333333
9,201,168,83.5820895522388,201,83.0,41.29353233830846,-42.28855721393034
10,222,134,60.36036036036037,222,50.0,22.52252252252252,-37.837837837837846
11,240,185,77.08333333333334,240,50.0,20.833333333333336,-56.25000000000001
12,170,129,75.88235294117646,170,43.0,25.294117647058822,-50.58823529411764
13,163,135,82.82208588957054,163,51.0,31.28834355828221,-51.53374233128834
14,180,126,70.0,180,78.0,43.333333333333336,-26.666666666666664
15,207,154,74.39613526570048,207,71.0,34.29951690821256,-40.09661835748792
16,209,187,89.47368421052632,209,56.0,26.794258373205743,-62.67942583732057
17,276,212,76.81159420289855,276,65.0,23.55072463768116,-53.26086956521739
18,195,162,83.07692307692308,195,46.0,23.589743589743588,-59.48717948717949
19,158,130,82.27848101265823,158,32.0,20.253164556962027,-62.025316455696206
20,234,144,61.53846153846154,234,80.0,34.18803418803419,-27.350427350427353
21,195,147,75.38461538461539,195,49.0,25.128205128205128,-50.25641025641026
22,202,180,89.10891089108911,202,,,
23,168,124,73.80952380952381,168,30.0,17.857142857142858,-55.95238095238095
24,147,112,76.19047619047619,147,72.0,48.97959183673469,-27.2108843537415
25,230,180,78.26086956521739,230,68.0,29.565217391304348,-48.69565217391305
26,199,148,74.37185929648241,199,35.0,17.587939698492463,-56.78391959798995
27,156,137,87.82051282051282,156,36.0,23.076923076923077,-64.74358974358974
28,165,121,73.33333333333333,165,56.0,33.939393939393945,-39.393939393939384
29,163,117,71.77914110429448,163,,,
30,194,150,77.31958762886599,194,34.0,17.525773195876287,-59.793814432989706
31,234,169,72.22222222222221,234,44.0,18.803418803418804,-53.41880341880341
32,191,124,64.92146596858639,191,37.0,19.3717277486911,-45.54973821989529
33,200,131,65.5,200,30.0,15.0,-50.5
34,195,168,86.15384615384616,195,59.0,30.256410256410255,-55.897435897435905
35,181,136,75.13812154696133,181,38.0,20.994475138121548,-54.143646408839786
36,158,102,64.55696202531645,158,37.0,23.417721518987342,-41.13924050632911
37,170,142,83.52941176470588,170,40.0,23.52941176470588,-60.0
38,194,150,77.31958762886599,194,58.0,29.896907216494846,-47.42268041237114
39,128,102,79.6875,128,66.0,51.5625,-28.125
40,188,168,89.36170212765957,188,,,
41,216,158,73.14814814814815,216,69.0,31.944444444444443,-41.20370370370371
42,196,150,76.53061224489795,196,51.0,26.02040816326531,-50.510204081632644
43,207,162,78.26086956521739,207,77.0,37.19806763285024,-41.06280193236715
44,192,111,57.8125,192,,,
45,158,117,74.0506329113924,158,58.0,36.708860759493675,-37.341772151898724
46,256,198,77.34375,256,41.0,16.015625,-61.328125
47,214,159,74.29906542056075,214,47.0,21.962616822429908,-52.33644859813084
48,231,187,80.95238095238095,231,44.0,19.047619047619047,-61.9047619047619
49,215,170,79.06976744186046,215,31.0,14.418604651162791,-64.65116279069767
50,198,128,64.64646464646465,198,36.0,18.181818181818183,-46.464646464646464
51,213,190,89.2018779342723,213,39.0,18.30985915492958,-70.89201877934272
52,213,176,82.62910798122066,213,69.0,32.3943661971831,-50.23474178403755
53,195,128,65.64102564102564,195,37.0,18.974358974358974,-46.66666666666666
54,257,186,72.37354085603113,257,39.0,15.17509727626459,-57.19844357976653
55,193,178,92.2279792746114,193,98.0,50.77720207253886,-41.45077720207254
56,275,228,82.9090909090909,275,33.0,12.0,-70.9090909090909
57,137,106,77.37226277372264,137,54.0,39.416058394160586,-37.95620437956205
58,147,109,74.14965986394559,147,57.0,38.775510204081634,-35.37414965986395
59,231,174,75.32467532467533,231,94.0,40.692640692640694,-34.63203463203463
60,172,146,84.88372093023256,172,70.0,40.69767441860465,-44.18604651162791
61,185,135,72.97297297297297,185,45.0,24.324324324324326,-48.648648648648646
62,180,155,86.11111111111111,180,30.0,16.666666666666664,-69.44444444444446
63,174,147,84.48275862068965,174,42.0,24.137931034482758,-60.34482758620689
64,283,217,76.67844522968198,283,52.0,18.374558303886925,-58.303886925795055
65,153,112,73.20261437908496,153,30.0,19.607843137254903,-53.59477124183006
66,202,158,78.21782178217822,202,,,
67,313,217,69.32907348242811,313,53.0,16.93290734824281,-52.39616613418531
68,199,152,76.38190954773869,199,63.0,31.65829145728643,-44.723618090452256
69,362,234,64.64088397790056,362,51.0,14.088397790055248,-50.55248618784531
70,137,110,80.2919708029197,137,,,
71,208,138,66.34615384615384,208,80.0,38.46153846153847,-27.884615384615373
72,213,167,78.40375586854461,213,39.0,18.30985915492958,-60.093896713615024
73,213,175,82.15962441314554,213,30.0,14.084507042253522,-68.07511737089202
74,166,130,78.3132530120482,166,,,
75,229,115,50.21834061135371,229,,,
76,210,162,77.14285714285715,210,85.0,40.476190476190474,-36.66666666666668
77,154,126,81.81818181818183,154,30.0,19.480519480519483,-62.337662337662344
78,231,165,71.42857142857143,231,30.0,12.987012987012985,-58.44155844155844
79,199,152,76.38190954773869,199,,,
80,185,167,90.27027027027027,185,40.0,21.62162162162162,-68.64864864864865
81,240,181,75.41666666666667,240,79.0,32.916666666666664,-42.50000000000001
82,214,154,71.96261682242991,214,91.0,42.523364485981304,-29.439252336448604
83,293,212,72.35494880546075,293,,,
84,267,203,76.02996254681648,267,38.0,14.232209737827715,-61.79775280898876
85,188,157,83.51063829787235,188,40.0,21.27659574468085,-62.2340425531915
86,278,205,73.7410071942446,278,31.0,11.151079136690647,-62.589928057553955
87,178,124,69.66292134831461,178,35.0,19.662921348314608,-50.0
88,213,163,76.52582159624414,213,42.0,19.718309859154928,-56.807511737089214
89,217,173,79.72350230414746,217,92.0,42.3963133640553,-37.32718894009216
